genres,item_id,title
Action,761140,Lost Summoner Kitty
Casual,761140,Lost Summoner Kitty
Indie,761140,Lost Summoner Kitty
Simulation,761140,Lost Summoner Kitty
Strategy,761140,Lost Summoner Kitty
Free to Play,643980,Ironbound
Indie,643980,Ironbound
RPG,643980,Ironbound
Strategy,643980,Ironbound
Casual,670290,Real Pool 3D - Poolians
Free to Play,670290,Real Pool 3D - Poolians
Indie,670290,Real Pool 3D - Poolians
Simulation,670290,Real Pool 3D - Poolians
Sports,670290,Real Pool 3D - Poolians
Action,767400,弹炸人2222
Adventure,767400,弹炸人2222
Casual,767400,弹炸人2222
Action,772540,Battle Royale Trainer
Adventure,772540,Battle Royale Trainer
Simulation,772540,Battle Royale Trainer
Free to Play,774276,SNOW - All Access Basic Pass
Indie,774276,SNOW - All Access Basic Pass
Simulation,774276,SNOW - All Access Basic Pass
Sports,774276,SNOW - All Access Basic Pass
Free to Play,774277,SNOW - All Access Pro Pass
Indie,774277,SNOW - All Access Pro Pass
Simulation,774277,SNOW - All Access Pro Pass
Sports,774277,SNOW - All Access Pro Pass
Free to Play,774278,SNOW - All Access Legend Pass
Indie,774278,SNOW - All Access Legend Pass
Simulation,774278,SNOW - All Access Legend Pass
Sports,774278,SNOW - All Access Legend Pass
Casual,768800,Race
Indie,768800,Race
Racing,768800,Race
Simulation,768800,Race
Action,770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
Adventure,770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
Casual,770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
Indie,770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
RPG,770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
Casual,768880,Beach Rules
Indie,768880,Beach Rules
Casual,765320,Planetarium 2 - Zen Odyssey
Indie,765320,Planetarium 2 - Zen Odyssey
Simulation,765320,Planetarium 2 - Zen Odyssey
