item_id,playtime_forever
10,17386015
20,961702
30,758991
40,154486
50,734562
60,158238
70,2682852
80,2503938
100,311999
130,441468
220,10857733
240,112612047
280,495306
300,6137875
320,2848066
340,345172
360,108679
380,1983285
400,5230153
420,2589554
500,13079802
550,102189423
620,26439449
730,785184267
1002,894
1200,271409
1210,0
1230,17401
1250,29992582
1280,261666
1300,10632
1309,81
1313,2019
1320,0
1500,61855
1510,180332
1520,221438
1530,48400
1600,7135
1610,25545
1630,21111
1640,27397
1670,4259
1690,98313
1700,19254
1900,71310
1920,1445
1930,162866
2100,441870
2130,58805
2200,78675
2210,73172
2270,32636
2280,78153
2290,15646
2300,66762
2310,93387
2320,67628
2330,1452
2340,1197
2350,9121
2360,5172
2370,668
2390,8086
2400,1048156
2420,194048
2430,14828
2450,173980
2500,95552
2520,1339
2525,305
2540,6363
2545,3294
2550,6937
2570,811
2590,16403
2600,613286
2610,24930
2620,126048
2630,436234
2640,85276
2680,0
2690,2175
2700,942672
2710,10225
2720,667
2760,467887
2780,18714
2790,303
2800,50328
2810,80502
2820,688392
2840,14328
2850,1001
2870,319095
2900,6978
2910,17176
2920,4775
2930,577
2990,269881
3000,3882
3010,5588
3020,28752
3050,1341
3130,49028
3150,69
3160,1399
3170,115947
3200,2765
3220,9375
3230,4292
3260,5190
3270,18425
3300,27043
3310,8803
3320,47785
3330,28166
3340,1408
3350,6061
3360,8379
3370,52124
3380,17570
3390,22103
3400,1945
3410,4047
3420,548
3430,3856
3440,3443
3450,24312
3460,8665
3470,38590
3480,281161
3483,48743
3490,1058
3500,3291
3510,3478
3520,2273
3530,2631
3540,168116
3560,49468
3570,761
3580,1874
3590,3475589
3600,13931
3610,1722
3620,75968
3630,43712
3650,6845
3700,185620
3710,20362
3720,416597
3730,87893
3800,13691
3810,16613
3820,20080
3830,989774
3900,727946
3910,510990
3920,430435
3960,1014
3970,4779
3980,12286
3990,139346
4000,448366616
4100,1153
4230,80951
4290,73938
4300,2747
4320,746
